FullName,StreetAddress,PhoneNumber,Age,Region,Gender,PerformanceRating,Blacklisted,PromotionEligible
Name1,123 1st St,555-1001,25,North,Male,6,No,Yes
Name2,123 2nd St,555-1002,NA,North,Female,2,Yes,No
Name3,123 3rd St,,19,North,,0,,Maybe
Name4,123 4th St,555-1004,67,North,Unknown,4,??, 
Name5,123 5th St,555-1005,45,North,Female,,No,Yes
Name6,123 6th St,555-1006,32,North,Male,5,,No
Name7,123 7th St,555-1007,80,North,Female,6,No, 
Name8,123 8th St,555-1008,,North,Unknown,1,Yes,No
Name9,123 9th St,555-1009,18,North,,4,No,Maybe
Name10,123 10th St,,44,North,Female,0,??,Yes
Name11,123 11th St,555-1011,NA,North,Male,3,No,
Name12,123 12th St,555-1012,26,North,Female,6,,No
Name13,123 13th St,555-1013,59,North,Unknown,1,??,Yes
Name14,,555-1014,46,North,Male,5,No,Maybe
Name15,123 15th St,555-1015,27,North,Female,,Yes,
Name16,123 16th St,555-1016,,North,Unknown,6,,Yes
Name17,123 17th St,555-1017,39,North,Male,2,No,No
Name18,123 18th St,,40,North,Female,0,??,Maybe
Name19,123 19th St,555-1019,NA,North,,6,No,
Name20,123 20th St,555-1020,65,North,Male,5,,Yes
Name21,123 21st St,555-1021,34,North,Female,4,Yes,No
Name22,123 22nd St,555-1022,,North,Unknown,,No,Maybe
Name23,123 23rd St,555-1023,20,North,Male,6,??,
Name24,123 24th St,555-1024,45,North,Female,2,No,Yes
Name25,123 25th St,,60,North,,4,Yes,No
Name26,123 26th St,555-1026,NA,North,Unknown,1,??,Maybe
Name27,123 27th St,555-1027,43,North,Male,6,No,
Name28,123 28th St,555-1028,,North,Female,5,Yes,Yes
Name29,123 29th St,555-1029,30,North,,0,,No
Name30,123 30th St,555-1030,70,North,Unknown,6,No,Maybe
Name31,123 31st St,555-1031,56,North,Male,2,??,
Name32,,555-1032,NA,North,Female,4,Yes,Yes
Name33,123 33rd St,555-1033,22,North,,3,,No
Name34,123 34th St,555-1034,19,North,Unknown,6,No,Maybe
Name35,123 35th St,555-1035,48,North,Male,1,Yes,
Name36,123 36th St,,25,North,Female,6,??,Yes
Name37,123 37th St,555-1037,66,North,Unknown,,No,No
Name38,123 38th St,555-1038,NA,North,Male,0,Yes,Maybe
Name39,123 39th St,555-1039,,North,Female,3,, 
Name40,123 40th St,555-1040,51,North,Unknown,6,??,Yes
Name41,123 41st St,,28,North,Male,4,No,No
Name42,123 42nd St,555-1042,24,North,Female,,Yes,Maybe
Name43,123 43rd St,555-1043,,North,Unknown,6,??,
Name44,123 44th St,555-1044,74,North,Male,1,No,Yes
Name45,123 45th St,555-1045,60,North,Female,5,,No
Name46,123 46th St,555-1046,NA,North,Unknown,0,Yes,Maybe
Name47,123 47th St,555-1047,38,North,Male,,No,
Name48,,555-1048,37,North,Female,2,??,Yes
Name49,123 49th St,555-1049,,North,Unknown,6,No,No
Name50,123 50th St,555-1050,57,North,Male,3,Yes,Maybe
Name51,123 51st St,555-1051,18,North,Female,4,, 
Name52,123 52nd St,555-1052,33,North,Unknown,6,No,Yes
Name53,123 53rd St,,61,North,Male,5,??,No
Name54,123 54th St,555-1054,27,North,Female,0,Yes,Maybe
Name55,123 55th St,555-1055,,North,Unknown,3,, 
Name56,123 56th St,555-1056,29,North,Male,6,No,Yes
Name57,123 57th St,555-1057,46,North,Female,2,Yes,No
Name58,123 58th St,555-1058,50,North,Unknown,,??,Maybe
Name59,123 59th St,555-1059,NA,North,Male,6,No,
Name60,123 60th St,,555-1060,66,North,Female,1,Yes,Yes
Name61,123 61st St,555-1061,35,North,Unknown,5,,No
Name62,123 62nd St,555-1062,,North,Male,0,??,Maybe
Name63,123 63rd St,555-1063,40,North,Female,6,No,
Name64,123 64th St,555-1064,21,North,Unknown,3,Yes,Yes
Name65,123 65th St,555-1065,NA,North,Male,4,??,No
Name66,123 66th St,555-1066,49,North,Female,,No,Maybe
Name67,123 67th St,555-1067,,North,Unknown,6,Yes,
Name68,123 68th St,555-1068,42,North,Male,2,No,Yes
Name69,123 69th St,,19,North,Female,0,??,No
Name70,123 70th St,555-1070,78,North,Unknown,1,Yes,Maybe
Name71,123 71st St,555-1071,,North,Male,6,No,
Name72,123 72nd St,555-1072,23,North,Female,5,,Yes
Name73,123 73rd St,555-1073,26,North,Unknown,3,??,No
Name74,123 74th St,555-1074,59,North,Male,0,Yes,Maybe
Name75,123 75th St,555-1075,54,North,Female,6,No,
Name76,123 76th St,555-1076,,North,Unknown,2,??,Yes
Name77,123 77th St,555-1077,31,North,Male,,Yes,No
Name78,123 78th St,555-1078,29,North,Female,6,No,Maybe
Name79,,555-1079,18,North,Unknown,5,??,
Name80,123 80th St,555-1080,68,North,Male,4,Yes,Yes
Name81,123 81st St,555-1081,,North,Female,0,No,No
Name82,123 82nd St,555-1082,47,North,Unknown,6,??,Maybe
Name83,123 83rd St,555-1083,37,North,Male,2,Yes,
Name84,123 84th St,555-1084,NA,North,Female,,No,Yes
Name85,123 85th St,,27,North,Unknown,6,??,No
Name86,123 86th St,555-1086,74,North,Male,3,Yes,Maybe
Name87,123 87th St,555-1087,,North,Female,5,No,
Name88,123 88th St,555-1088,22,North,Unknown,6,??,Yes
Name89,123 89th St,555-1089,50,North,Male,1,Yes,No
Name90,123 90th St,555-1090,NA,North,Female,6,,Maybe
Name91,123 91st St,555-1091,44,North,Unknown,0,No,
Name92,123 92nd St,,58,North,Male,2,Yes,Yes
Name93,123 93rd St,555-1093,67,North,Female,4,??,No
Name94,123 94th St,555-1094,20,North,Unknown,6,No,Maybe
Name95,123 95th St,555-1095,41,North,Male,,Yes,
Name96,123 96th St,555-1096,,North,Female,5,No,Yes
Name97,123 97th St,555-1097,33,North,Unknown,3,??,No
Name98,,555-1098,70,North,Male,0,Yes,Maybe
Name99,123 99th St,555-1099,26,North,Female,6,, 
Name100,123 100th St,555-1100,,North,Unknown,1,No,Yes
